key,display_name,preprocessing,inference_imgsz,precision,recall,map50,map50_95,parameters,gflops,checkpoint_mb,preprocess_mean_ms,inference_mean_ms,end_to_end_mean_ms,end_to_end_p95_ms,fps,peak_vram_allocated_mb,true_positive,false_positive,false_negative
original,CLAHE + YOLO26n (640),clahe,640,0.8091901504508312,0.7795275590551181,0.8562377285375935,0.4889627426620895,2504190,5.8921984,5.127385139465332,3.685409226185194,5.315211309504688,9.035958928564014,9.75077499992949,110.66894038648746,59.9150390625,420,132,88
proposed,Optimized CLAHE + YOLO26n (960),optimized_clahe,960,0.8467749482589041,0.8050193818994053,0.8893850618147763,0.5270840918362161,2504190,13.6030464,5.127385139465332,1.4048883928667455,7.1961485118798745,8.628930952397695,8.956875000194486,115.88921101774872,83.44921875,427,94,81
