key,display_name,preprocessing,inference_imgsz,precision,recall,map50,map50_95,parameters,gflops,checkpoint_mb,preprocess_mean_ms,inference_mean_ms,end_to_end_mean_ms,end_to_end_p95_ms,fps,peak_vram_allocated_mb
proposed,Optimized CLAHE + YOLO26n (960),optimized_clahe,960,0.8467749482589041,0.8050193818994053,0.8893850618147763,0.5270840918362161,2504190,13.6030464,5.127385139465332,1.414015476188167,7.170759523815951,8.612247023808637,8.907575000080215,116.11371541428046,83.44921875
reference,Baseline + YOLO26m (640),baseline,640,0.8477974723347496,0.8662309835966863,0.9217393005936579,0.5632508798281429,21774430,74.9555712,41.97219181060791,3.0851380952339826,6.40509017857347,9.53160059523568,10.10422500007735,104.91417364884599,173.7197265625
