experiment,image_count,mean_ms,median_ms,p95_ms,min_ms,max_ms
baseline,2222,3.264829252940609,3.2147499987331685,3.9111050013161726,2.3269000012078322,6.2527000009140465
clahe,2222,3.479077767798083,3.4261000000697095,4.186800000206857,2.532700000301702,6.094899999879999
bilateral_clahe,2222,3.6933746624002235,3.6395999995875172,4.347584999231913,2.784500000416301,6.459099997300655
